No.     Time        Source                Destination           Protocol Info
     38 0.479265    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=1749910845 TSER=1749830446
     39 0.499399    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=1749931012 TSER=1749850496
     40 0.519534    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=1749931016 TSER=1749850496
     41 0.539653    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=1749951076 TSER=1749870567
     42 0.559791    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=1749951079 TSER=1749870567
     43 1.438457    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=1750951342 TSER=1749870567
     44 1.457622    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=1750951342 TSER=1749870567
     45 1.477841    127.0.0.1             127.0.0.1             TCP      commplex-main > 57586 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=1750990766 TSER=1750951342
     46 1.497000    127.0.0.1             127.0.0.1             TCP      commplex-main > 57586 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=1750990766 TSER=1750951342
     47 1.517292    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=1751030210 TSER=1750990766
     48 1.536457    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=1751030210 TSER=1750990766
     49 1.537426    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=1751030214 TSER=1750990766
     50 1.556588    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=1751030214 TSER=1750990766
     51 1.557506    127.0.0.1             127.0.0.1             TCP      commplex-main > 57586 [ACK] Seq=2 Ack=13034 Win=65535 Len=0 TSV=1751069588 TSER=1751030210
     52 1.576610    127.0.0.1             127.0.0.1             TCP      commplex-main > 57586 [ACK] Seq=2 Ack=13034 Win=65535 Len=0 TSV=1751069588 TSER=1751030210
     53 1.577632    127.0.0.1             127.0.0.1             TCP      commplex-main > 57586 [ACK] Seq=2 Ack=14482 Win=65535 Len=0 TSV=1751089717 TSER=1751030214
     54 1.596734    127.0.0.1             127.0.0.1             TCP      commplex-main > 57586 [ACK] Seq=2 Ack=14482 Win=65535 Len=0 TSV=1751089717 TSER=1751030214
     55 1.597717    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=1751109796 TSER=1751069588
     56 1.616819    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=1751109796 TSER=1751069588
     57 1.617850    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=1751109814 TSER=1751069588
     58 1.637011    127.0.0.1             127.0.0.1             TCP      57586 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=1751109814 TSER=1751069588
