No.     Time        Source                Destination           Protocol Info
      1 0.000000    192.168.21.101        192.168.21.105        TCP      60012 > commplex-main [SYN] Seq=3868376797 Win=5840 Len=0 MSS=1460 TSV=110285454 TSER=0
      2 0.000137    192.168.21.105        192.168.21.101        TCP      commplex-main > 60012 [SYN, ACK] Seq=190283240 Ack=3868376798 Win=5792 Len=0 MSS=1460 TSV=118448740 TSER=110285454
      3 0.000153    192.168.21.101        192.168.21.105        TCP      60012 > commplex-main [ACK] Seq=3868376798 Ack=190283241 Win=5840 Len=0 TSV=110285454 TSER=118448740
      4 0.000180    192.168.21.101        192.168.21.105        TCP      60012 > commplex-main [PSH, ACK] Seq=3868376798 Ack=190283241 Win=5840 Len=500 TSV=110285454 TSER=118448740
      5 0.000189    192.168.21.101        192.168.21.105        TCP      60012 > commplex-main [FIN, ACK] Seq=3868377298 Ack=190283241 Win=5840 Len=0 TSV=110285454 TSER=118448740
      6 0.000336    192.168.21.105        192.168.21.101        TCP      commplex-main > 60012 [ACK] Seq=190283241 Ack=3868377298 Win=6432 Len=0 TSV=118448740 TSER=110285454
      7 0.000344    192.168.21.105        192.168.21.101        TCP      commplex-main > 60012 [FIN, ACK] Seq=190283241 Ack=3868377299 Win=6432 Len=0 TSV=118448740 TSER=110285454
      8 0.000350    192.168.21.101        192.168.21.105        TCP      60012 > commplex-main [ACK] Seq=3868377299 Ack=190283242 Win=5840 Len=0 TSV=110285454 TSER=118448740
